rank,team,composite,bt_strength,xgd_per60,xg_share,gd_pg,win_pct,sos,pdo,gsax_pg,xg_per_shot,pim_pg,pen_diff_pg,ev_xgd60,pp_xgf60,pk_xga60,goalie_gsax60,depth_gap,fin60_shrunk,gsax60_shrunk
1,brazil,2.036085692930813,1.0473654093215015,0.5992857265630039,0.5512361879556769,1.0609756097560976,0.7073170731707317,-0.05339220989705065,1.043359842086283,0.40032439024390226,0.12603112858464385,14.25609756097561,-0.7804878048780488,0.8705864480745413,7.797534229128799,6.961621870566562,0.3980600360657414,0.5895770536017187,0.041442558428315096,0.3878859115633204
2,thailand,1.6003406955193626,0.5561321452867533,0.8651362016037089,0.5707546457329667,0.5609756097560976,0.6097560975609756,-0.02711433336365236,1.0087235482897396,-0.3211987804878049,0.12563380221653878,14.329268292682928,-0.4268292682926829,0.9147139126436377,8.534035011246356,6.770150441157784,-0.32721200960462127,-0.5697264389763095,-0.008853375286065107,-0.3111640406951455
3,netherlands,1.437351412687581,0.6404736606500774,0.47206476537836506,0.5457970235547099,0.8414634146341463,0.6585365853658537,-0.029998007657971212,1.0281827955183014,0.3390634146341464,0.11417071563088513,11.341463414634147,2.6707317073170733,0.13158835007522418,8.076714941416707,6.6498262351440145,0.3404700069075498,0.6089353055416199,0.005666206266102223,0.3221370061611452
4,pakistan,1.281487344509693,0.4810074305760947,0.6110806826144968,0.5494450227668617,0.6219512195121951,0.5975609756097561,-0.028100202644743683,1.0004012680069019,0.261731707317073,0.11587439967439966,16.24390243902439,-2.207317073170732,0.8645491170294246,8.07582030903932,6.998820040972405,0.28517613800298725,0.01029278700550007,-0.2585410839530517,0.2556662848167549
5,peru,1.1771869446102303,0.5159845301260055,0.3403743794204203,0.5322278166680631,0.9512195121951219,0.6341463414634146,-0.020632534344566633,1.0218190342301805,0.4504097560975611,0.10581994807442666,12.707317073170731,-0.012195121951219513,0.21111073489471766,7.590096438117163,6.722216599302995,0.4406868807046919,0.773050177024599,0.13124469748835274,0.42393286335115454
6,china,0.8553916224740867,0.2687622908054813,0.4105829111943547,0.5366310781646968,0.5609756097560976,0.573170731707317,-0.011865745714332378,1.0226046897122734,0.34120243902439024,0.11869990723562152,11.560975609756097,0.7682926829268293,0.37693828080901337,7.470556954883021,7.281664053389804,0.34436854153700136,0.2423719017084219,-0.19862075028464213,0.3283999556818438
7,panama,0.6595761118098814,0.31660815364865313,0.18987111701704784,0.516098562109689,0.5121951219512195,0.5609756097560976,-0.017745514498375126,1.016117878774782,0.3462646341463414,0.1151924832214765,11.28048780487805,1.2804878048780488,-0.04032284486147786,7.799226169573271,7.421324815245932,0.37685758685956805,0.8217450385204015,-0.02911992253028825,0.3352486957431582
8,india,0.5978281702232697,0.41685166025358655,0.016425464306660295,0.5014704520435261,0.34146341463414637,0.5975609756097561,-0.031075468638010566,1.0057216374429725,0.5479548780487805,0.10085794353139486,11.365853658536585,1.9878048780487805,-0.024042587587624897,6.943625693847148,6.937429568315067,0.5321959436649727,0.2211610710410386,-0.21436742606029816,0.5251029035808747
9,uk,0.5506207536468092,0.09605015763436997,0.4243434952572817,0.5351637831172084,0.4024390243902439,0.47560975609756095,-0.00014793080838928916,1.007251983662774,0.3536756097560974,0.12161641725352113,10.158536585365853,2.2439024390243905,0.08063902611089357,8.34576015733061,7.118575416957182,0.36107860999214475,1.0773265890415455,-0.3771443236920854,0.3385116975021949
10,iceland,0.28075780367097436,0.3681689905527365,-0.21943777795238004,0.4805620466056352,0.35365853658536583,0.5609756097560976,-0.005869316530049719,1.0237658528229978,0.4838256097560975,0.11092690453230472,14.707317073170731,-1.9024390243902438,-0.014096334458878257,6.555706504612378,6.995730277691628,0.49995030277349684,0.7357354810586672,0.09329283276846474,0.46715288138592975
11,guatemala,0.2556175715045585,-0.009297929188213904,0.26977561149964024,0.523416677243305,-0.06097560975609756,0.5121951219512195,-0.00037573789930154714,1.0019217957259263,-0.038902439024390216,0.10788523206751055,13.560975609756097,0.24390243902439024,0.3530254931576957,7.472335915687664,7.318990033361789,-0.02729051433493811,0.6079877952720949,-0.2907859654771024,-0.0374124781065232
