rank,team,composite_score,bt_strength,xgd_per60,xg_share,gd_pg,win_pct,sos,pdo,pp_xgf_per60,pk_save_pct,total_gsax
1,brazil,1.8733248302309111,0.8548422257145143,0.009988095442716734,0.5512361879556769,1.0609756097560976,0.7073170731707317,-0.046729243038780566,1.043359842086283,0.1299589038188133,0.8721311475409836,33.600599999999986
2,netherlands,1.4866315103519139,0.6447731573818936,0.007867746089639418,0.5457970235547099,0.8414634146341463,0.6585365853658537,-0.026203186397513272,1.0281827955183014,0.13461191569027847,0.8645833333333334,29.134599999999978
3,thailand,1.3169188700215984,0.42755335218764656,0.014418936693395149,0.5707546457329667,0.5609756097560976,0.6097560975609756,-0.030283881186027695,1.0087235482897396,0.14223391685410594,0.8243992606284658,-27.455899999999986
4,peru,1.2952562036845578,0.5417998655458075,0.005672906323673671,0.5322278166680631,0.9512195121951219,0.6341463414634146,-0.020463091518160604,1.0218190342301805,0.12650160730195273,0.8847736625514403,37.9307
5,pakistan,1.2098226471747409,0.3797472152886504,0.010184678043574947,0.5494450227668617,0.6219512195121951,0.5975609756097561,-0.024474968902952438,1.0004012680069019,0.1345970051506553,0.8609715242881072,23.793999999999983
6,china,0.9140506727969793,0.2922740166057493,0.006843048519905912,0.5366310781646968,0.5609756097560976,0.573170731707317,-0.009008106359652575,1.0226046897122734,0.1245092825813837,0.8703703703703703,29.0779
7,panama,0.653888737652338,0.23432095451044246,0.003164518616950797,0.516098562109689,0.5121951219512195,0.5609756097560976,-0.01645991273614292,1.016117878774782,0.12998710282622114,0.8615702479338843,31.5214
8,india,0.5486052400706383,0.37934441134122177,0.00027375773844433824,0.5014704520435261,0.34146341463414637,0.5975609756097561,-0.024541208285571804,1.0057216374429725,0.11572709489745243,0.8450106157112527,45.30529999999999
9,uk,0.4457223728569052,-0.09117745017558432,0.007072391587621361,0.5351637831172084,0.4024390243902439,0.47560975609756095,0.010413850712151193,1.007251983662774,0.1390960026221768,0.8442822384428224,30.530100000000004
10,guatemala,0.24510530478069034,0.04578074408588261,0.00449626019166067,0.523416677243305,-0.06097560975609756,0.5121951219512195,-0.0029958515943162393,1.0019217957259263,0.12453893192812772,0.8438030560271647,-2.3086000000000126
11,iceland,0.20723302911936853,0.24952530110270496,-0.003657296299206334,0.4805620466056352,0.35365853658536583,0.5609756097560976,-0.0009417776673177816,1.0237658528229978,0.10926177507687296,0.8666666666666667,41.9443
