team,first_off_raw,second_off_raw,raw_disparity,first_off_adj,second_off_adj,adj_disparity
usa,0.045368465545414904,0.03325383603080835,1.3643077298926607,0.045504679849637235,0.0330716022958869,1.3759442146925138
saudi_arabia,0.037172690508871925,0.02727699477149861,1.3627854102063033,0.03714106477740801,0.027125713522217963,1.369219827046641
uae,0.033040725069329695,0.024380259465871464,1.3552245051198706,0.032991704564401814,0.02424988682612287,1.360489011802807
guatemala,0.04645436900055502,0.034268251828818916,1.3556095371485457,0.04621809063541736,0.03416399645589934,1.3528303310497667
france,0.04237836898557432,0.03162549789551278,1.340006381103876,0.04250749353088753,0.03163876162628353,1.3435258317940904
iceland,0.04290274057030988,0.032401998827878996,1.3240769743314706,0.04329811285377971,0.03240908692469511,1.3359868161169135
singapore,0.04356999710923518,0.034716955601739374,1.2550062744284023,0.043496533723780484,0.03471175577036188,1.2530778912923601
new_zealand,0.04029315492442559,0.032889198761150255,1.2251181677317453,0.040222663878200005,0.03291975458502341,1.2218397246648673
panama,0.04219693523960354,0.03519467050311251,1.198958098950572,0.04226016181338584,0.03524818529577133,1.1989315608385582
peru,0.03954605877272045,0.03301506586814337,1.19781856352069,0.03942948375655371,0.03295215140152857,1.1965678136185265
rwanda,0.0387294433932148,0.03246019660445668,1.1931364392259218,0.03874517769919579,0.03242702006905351,1.1948423757930187
india,0.04013824011285428,0.03440128632935518,1.1667656763928524,0.04007800518093654,0.0344007694482558,1.165032231073209
uk,0.04514034802226998,0.03871987942966045,1.1658184035483148,0.045047969368092994,0.0387823400939718,1.1615588244272836
netherlands,0.03558094003378156,0.03194610096478527,1.1137803662801615,0.03586545423148625,0.03190432931865808,1.1241563448416279
south_korea,0.045148671852852915,0.040798312499512324,1.106630865023954,0.045093836459893316,0.04081178303206049,1.104921988448017
serbia,0.04656014806940005,0.04189439190526901,1.1113694686076643,0.04632654404373194,0.042005852292083666,1.1028592806927178
mexico,0.042526072892292086,0.04015274256475434,1.0591075522104194,0.04258266174048118,0.040211787279466275,1.058959688723549
china,0.04159967432047221,0.03955045053596461,1.0518129062182027,0.04152027217297898,0.03925456907440992,1.0577182007596175
mongolia,0.027377679482085145,0.026186397692073503,1.0454923889883578,0.027370036375696027,0.026093422436742814,1.0489247411698506
pakistan,0.04942915536768601,0.04776330738853894,1.0348771488037027,0.04924049335222992,0.04787313742945947,1.0285620704259302
canada,0.039392014053015824,0.03897783986832674,1.010625888609739,0.03944194507207621,0.03898000413893552,1.0118507153435439
philippines,0.030573776632273994,0.030561638090488195,1.0003971823025277,0.030580219157468513,0.03032441802060731,1.0084354837968323
kazakhstan,0.02781066977155242,0.027766307067771393,1.0015977171063024,0.0278431827092139,0.027635289099782478,1.0075227586250604
morocco,0.0384844567280281,0.038523246018267926,0.9989930939303134,0.03835471706441582,0.03835683474186223,0.9999447900886332
thailand,0.04715028226867784,0.048263437772689634,0.9769358430442829,0.047847770705885966,0.04810406383389554,0.9946721106787452
brazil,0.044707594971630356,0.04562118292996373,0.9799744789665826,0.04500651732243792,0.045537959518286625,0.9883296879906247
oman,0.04100178456675367,0.041737135269208234,0.982381380568851,0.04105215834898665,0.04196235561271693,0.9783091952193828
indonesia,0.030060899070512664,0.03131248099830161,0.9600292954155618,0.030232031751181537,0.03149148903229936,0.9600064233283457
vietnam,0.033424233949080874,0.03538149448071432,0.9446812363253817,0.0334923482558252,0.035159880582525775,0.9525728671692552
germany,0.036130194908069506,0.037792935881511676,0.9560039215091627,0.03608634893246829,0.03791105504506946,0.9518687593781834
ethiopia,0.036995373819079316,0.04084598906347081,0.9057284366793518,0.037131738374840274,0.040873277168172094,0.9084600244326544
switzerland,0.02841783547335623,0.03196768846118074,0.8889549680098017,0.02839622601652739,0.03198596486506452,0.8877714377640086
