rank,team,composite_score,bt_strength,xgd_per60,xg_share,gd_pg,win_pct,sos,pdo
1,brazil,2.003412611068129,0.8548422257145143,0.009988095442716734,0.5512361879556769,1.0609756097560976,0.7073170731707317,-0.046729243038780566,1.043359842086283
2,thailand,1.6221906061789495,0.42755335218764656,0.014418936693395149,0.5707546457329667,0.5609756097560976,0.6097560975609756,-0.030283881186027695,1.0087235482897396
3,netherlands,1.5660162179672579,0.6447731573818936,0.007867746089639418,0.5457970235547099,0.8414634146341463,0.6585365853658537,-0.026203186397513272,1.0281827955183014
4,peru,1.2971958609403667,0.5417998655458075,0.005672906323673671,0.5322278166680631,0.9512195121951219,0.6341463414634146,-0.020463091518160604,1.0218190342301805
5,pakistan,1.292393138435543,0.3797472152886504,0.010184678043574947,0.5494450227668617,0.6219512195121951,0.5975609756097561,-0.024474968902952438,1.0004012680069019
6,china,0.9599624065244176,0.2922740166057493,0.006843048519905912,0.5366310781646968,0.5609756097560976,0.573170731707317,-0.009008106359652575,1.0226046897122734
7,panama,0.6242923372555067,0.23432095451044246,0.003164518616950797,0.516098562109689,0.5121951219512195,0.5609756097560976,-0.01645991273614292,1.016117878774782
8,india,0.5922229898314133,0.37934441134122177,0.00027375773844433824,0.5014704520435261,0.34146341463414637,0.5975609756097561,-0.024541208285571804,1.0057216374429725
9,uk,0.4229283397702401,-0.09117745017558432,0.007072391587621361,0.5351637831172084,0.4024390243902439,0.47560975609756095,0.010413850712151193,1.007251983662774
10,guatemala,0.34910591955781445,0.04578074408588261,0.00449626019166067,0.523416677243305,-0.06097560975609756,0.5121951219512195,-0.0029958515943162393,1.0019217957259263
11,mexico,0.3046742613059827,-0.14288435159396215,0.008002014321770804,0.5423165411398946,-0.2073170731707317,0.4634146341463415,0.009058222627960045,0.9813360948405121
12,serbia,0.1686268181259177,-0.009941837411411455,0.002604196798869507,0.5121097073609742,0.06097560975609756,0.5,-0.008942652425098037,1.0039723014256619
13,iceland,0.15683428014002182,0.24952530110270496,-0.003657296299206334,0.4805620466056352,0.35365853658536583,0.5609756097560976,-0.0009417776673177816,1.0237658528229978
14,france,0.09647714635981285,-0.1986540917558533,0.006280559297891851,0.5324614874961037,-0.2926829268292683,0.45121951219512196,0.0036538406459928376,0.9772727965594208
15,new_zealand,-0.04188702025747245,-0.048808016804638296,0.0005800885442713617,0.5030580953673707,-0.08536585365853659,0.4878048780487805,0.0026718983336463677,0.9857938747962064
16,south_korea,-0.05687882765097093,-0.10271723038930336,0.0017016275507220138,0.5084685999743669,-0.17073170731707318,0.47560975609756095,-0.0009401178942717665,0.9753556672122329
17,ethiopia,-0.12384442797272487,0.09758374139968282,-0.004610103412731079,0.47682948688329996,0.24390243902439024,0.524390243902439,-0.0018387677009099705,1.0206185316535943
18,philippines,-0.14410653692230233,0.09303784704892382,-0.004326283341810903,0.4749298062146766,0.14634146341463414,0.524390243902439,-0.005870618293487001,1.008174603174603
19,morocco,-0.250126471001089,-0.21184024598781614,0.0011378707657414412,0.5059604188039578,-0.24390243902439024,0.45121951219512196,-0.009342821853856782,0.9967337070873913
20,indonesia,-0.2508880642305576,0.01758627908822788,-0.004385312049371582,0.4753022698888534,0.13414634146341464,0.5,0.018911831108325512,1.0019792224853503
21,canada,-0.30602782615765156,-0.22609862663201058,0.001490634690744522,0.5079517717988844,-0.524390243902439,0.43902439024390244,0.02843409670629398,0.973870438107906
22,saudi_arabia,-0.3118328099147371,-0.0975421113436439,-0.0023128897903554047,0.48666143773185433,-0.12195121951219512,0.47560975609756095,0.003995507207124079,1.0046275221611283
23,germany,-0.5504472884125752,-0.2392811015110642,-0.0027615079392682516,0.4858823029761884,-0.25609756097560976,0.43902439024390244,0.013760503111721115,0.9933749539012696
24,singapore,-0.6500537696007506,-0.06518171184579158,-0.0083192139838472,0.4614332146270806,-0.17073170731707318,0.4878048780487805,-0.013525324401767664,1.0060361233077626
25,uae,-0.7382864356502746,-0.16375715010068465,-0.005928221102641178,0.46587542519770936,-0.5853658536585366,0.4634146341463415,-0.011688338726399778,0.9969268397705403
26,switzerland,-0.8028498435735305,-0.23055236372918295,-0.006179654237850186,0.46375436551502913,-0.34146341463414637,0.43902439024390244,0.022476645007408456,0.9917063821589918
27,vietnam,-0.8064876622976092,-0.0980967568268474,-0.008958140110698875,0.4535573507627443,-0.4146341463414634,0.47560975609756095,0.0034530209199652513,0.9898334592261668
28,oman,-0.9056093944402323,-0.27122302740470294,-0.0067988868652148066,0.46705421146056375,-0.5121951219512195,0.4268292682926829,0.033000089961639216,0.987010781848813
29,usa,-0.9343025065896761,-0.2893666938024429,-0.006739993282503159,0.46758160850108516,-0.573170731707317,0.4268292682926829,0.014406467943295373,0.9909648011668969
30,kazakhstan,-1.1572618727296062,-0.5540846118821149,-0.0042464692154457456,0.4755044344541175,-0.6707317073170732,0.36585365853658536,0.010323597551223716,0.9703260418839806
31,rwanda,-1.273417882250322,-0.5243686428530463,-0.0063354009379265365,0.46633642488756727,-0.7682926829268293,0.36585365853658536,0.042983853595124986,0.9717582970530967
32,mongolia,-2.1520242938092866,-0.6925930892512465,-0.01580582027413259,0.41131472321616497,-0.7926829268292683,0.32926829268292684,0.03670644355035488,0.9832565681554001
